id,instrument,family,x,y,pitch,dynamic,spectral_complexity,spectral_center
piccolo trumpet.m16.G4.fff.Art1934,piccolo trumpet,trumpets,13.38042,-4.053439,17,fff,0.0205,1719.7
bass trumpet.m40.Db3.G2.Wnb1214,bass trumpet,trumpets,7.5582237,14.815655,243,---,0.0183,502.0
bass trumpet.m40.F3.Bb2.Wnb1256,bass trumpet,trumpets,7.555133,14.65315,164,---,0.013,552.0
piccolo trumpet.m7.Eb4.mf.Art3381,piccolo trumpet,trumpets,13.6396265,1.7443675,7,mf,0.1918,2601.0
bass trumpet.m52.C5.fff.Wnb717,bass trumpet,trumpets,12.571266,-4.2085395,0,fff,0.0098,1254.8
piccolo trumpet.m37.Bb3.fff.Art1835,piccolo trumpet,trumpets,10.036221,-8.534552,26,fff,0.0276,496.5
trumpet in c.m27.A4.ppp.Aht23,trumpet in c,trumpets,10.395553,12.742442,15,ppp,0.0056,741.7
bass trumpet.m31.Eb3.ppp.Wnb104,bass trumpet,trumpets,12.763259,16.029976,21,ppp,0.0191,446.6
bass trumpet.m54.A2.fff.Wnb1014,bass trumpet,trumpets,13.853013,-3.3310192,27,fff,0.0875,2118.6
piccolo trumpet.m43.Eb4.ppp.Art2614,piccolo trumpet,trumpets,11.537337,12.296009,21,ppp,0.0073,634.1
trumpet in c.m49.Gb4.mf.Aht1342,trumpet in c,trumpets,9.068303,2.4695787,13,mf,0.0239,1327.5
bass trumpet.m40.Ab3.Db3.Wnb1297,bass trumpet,trumpets,7.564044,14.399691,104,---,0.0188,589.3
bass trumpet.m51.C5.mf.Wnb664,bass trumpet,trumpets,7.9456854,1.0152788,0,mf,0.0015,947.8
bass trumpet.m29.Gb4.mf.Wnb496,bass trumpet,trumpets,6.7214255,0.7798648,6,mf,0.0073,623.1
trumpet in c.m38.C2.fff.Aht996,trumpet in c,trumpets,13.455299,-7.1405535,48,fff,0.0362,860.3
piccolo trumpet.m5.G4.mf.Art3351,piccolo trumpet,trumpets,16.290722,0.7522522,3,mf,0.1889,4170.6
bass trumpet.m28.Eb3.mf.Wnb427,bass trumpet,trumpets,6.048895,1.304395,21,mf,0.0156,591.0
trumpet in c.m42.Gb4.mf.Aht1096,trumpet in c,trumpets,9.296235,1.7813917,13,mf,0.0105,1462.9
bass trumpet.m40.C4.E3.Wnb1339,bass trumpet,trumpets,5.9760523,14.224498,25,---,0.0122,526.0
bass trumpet.m33.C2.ppp.Wnb575,bass trumpet,trumpets,13.381487,15.3397255,36,ppp,0.0108,308.6
trumpet in c.m6.C4.mf.Aht1420,trumpet in c,trumpets,11.184164,1.8647096,0,mf,0.2603,2289.8
bass trumpet.m40.Db1.Bb3.Wnb1381,bass trumpet,trumpets,9.207522,14.560339,677,---,0.0271,481.7
bass trumpet.m45.Gb2.mf.Wnb256,bass trumpet,trumpets,8.346265,1.3346941,30,mf,0.0513,1079.8
trumpet in c.m43.C4.fff.Aht813,trumpet in c,trumpets,13.030368,-4.3899307,24,fff,0.0142,1504.6
piccolo trumpet.m43.Db5.ppp.Art2662,piccolo trumpet,trumpets,9.541591,11.4371195,11,ppp,0.0012,1072.2
bass trumpet.m56.C5.mf.Wnb1150,bass trumpet,trumpets,6.596426,2.9163563,0,mf,0.0115,619.7
piccolo trumpet.m40.E5.fff.Art2912,piccolo trumpet,trumpets,12.998785,-4.4434266,8,fff,0.0142,1454.0
trumpet in c.m25.Ab5.fff.Aht1599,trumpet in c,trumpets,13.141704,-5.0601773,0,fff,0.0056,1523.7
bass trumpet.m52.Eb1.mf.Wnb670,bass trumpet,trumpets,5.902019,2.3230011,45,mf,0.0279,551.7
trumpet in c.m23.Gb4.fff.Aht765,trumpet in c,trumpets,12.991676,-5.074528,13,fff,0.0261,1468.9
piccolo trumpet.m44.C6.fff.Art2705,piccolo trumpet,trumpets,13.898822,-3.1767397,0,fff,0.0054,2155.3
bass trumpet.m53.A4.mf.Wnb985,bass trumpet,trumpets,7.729968,1.9058759,3,mf,0.0122,998.3
piccolo trumpet.m29.C6.mf.Art2253,piccolo trumpet,trumpets,8.058655,2.6597826,0,mf,0.0042,1167.5
bass trumpet.m28.Eb2.fff.Wnb414,bass trumpet,trumpets,11.081672,-8.045401,33,fff,0.02,625.2
